name,level,type,city,district,address,longitude,latitude
聖心物理治療所,B,專業照護服務,高雄市,鳳山區,高雄市鳳山區誠德街164號1樓,120.3741989,22.62488556
財團法人高雄市郭吳麗珠社會福利慈善事業基金會私立鳳山社區,B,喘息服務,高雄市,鳳山區,高雄市鳳山區光遠路222號,120.3639526,22.62701607
高雄市私立巧鈊居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區誠和路109號1樓,120.3574753,22.61127472
有限責任高雄市協和照顧服務勞動合作社,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區鎮西里信義街50號,120.3547287,22.62736893
社團法人台灣照顧服務人力管理協會附設高雄市私立福愛園居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區自治街75巷11號1樓,120.3516235,22.6232872
有限責任高雄市安祥照顧服務勞動合作社,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區大東一路113號,120.361351,22.62212563
有限責任臺灣第二照顧服務勞動合作社私立二顧居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區八德路246之2號1樓,120.3568802,22.63853073
有限責任高雄市安祥照顧服務勞動合作社,A,個案管理服務,高雄市,鳳山區,高雄市鳳山區大東一路113號,120.361351,22.62212563
社團法人高雄市鳳山老人健康照護協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區文英里建國路二段192巷33之16號,120.3585129,22.63783455
社團法人高雄市鳳山心故鄉社區營造協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區國富里國富路31號,120.3491898,22.61548424
高雄市立鳳山醫院,A,個案管理服務,高雄市,鳳山區,高雄市鳳山區經武路42號,120.3627853,22.62882996
圓融松柏事業有限公司附設高雄市私立圓融居家長照機構,B,喘息服務,高雄市,鳳山區,高雄市鳳山區八德路159號1樓,120.3592834,22.63778877
家康診所,B,居家失能個案家庭醫師照護服務,高雄市,鳳山區,高雄市鳳山區五甲三路134號,120.3256149,22.59152794
財團法人高雄市郭吳麗珠社會福利慈善事業基金會私立五甲社區,B,喘息服務,高雄市,鳳山區,高雄市鳳山區福誠二街168號,120.3228912,22.59230423
有限責任高雄市協和照顧服務勞動合作社,A,個案管理服務,高雄市,鳳山區,高雄市鳳山區鎮西里信義街50號,120.3547287,22.62736893
大欣診所,B,居家失能個案家庭醫師照護服務,高雄市,鳳山區,高雄市鳳山區文化路25號,120.3577957,22.63328171
高雄市私立愛智家園,B,家庭托顧服務,高雄市,鳳山區,高雄市鳳山區文衡路281號9樓,120.3538666,22.63986206
社團法人高雄市第一志願服務協會,B,營養餐飲服務,高雄市,鳳山區,高雄市鳳山區中山西路266號2樓,120.3450775,22.62824059
社團法人高雄市愛家倍照顧關懷協會附設高雄市私立愛家倍居家式服務類長期照顧服務機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區五甲一路249號,120.3546677,22.61755943
社團法人台灣高齡照顧協會附設高雄市私立台灣高齡社區式服務類長期照顧服務機構,B,團體家屋服務,高雄市,鳳山區,高雄市鳳山區中山西路127號,120.3516846,22.62708282
有限責任臺灣第二照顧服務勞動合作社私立二顧居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區八德路246之2號1樓,120.3568802,22.63853073
高雄市鳳山區生明社區發展協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區生明里王生明路28號,120.3626556,22.61609268
社團法人高雄長期照顧人員福利促進協會附設高雄市私立長促居家式服務類長期照顧服務機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區信義街303號1樓,120.3480988,22.62695122
有限責任高雄市厚德照顧服務勞動合作社附設高雄市私立厚德居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區龍成路186號1樓,120.3296356,22.59827042
靜嫻復康職能治療所,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區工協街39號,120.3709869,22.62999916
有限責任高雄市安祥照顧服務勞動合作社附設高雄市私立安祥居家長照機構,B,居家服務,高雄市,鳳山區,高雄市鳳山區大東一路113號,120.361351,22.62212563
吳文紹診所,B,居家失能個案家庭醫師照護服務,高雄市,鳳山區,高雄市鳳山區五甲三路3號,120.3281631,22.5929451
社團法人高雄市活泉愛鄰社區服務協會,C,巷弄長照站,高雄市,鳳山區,高雄市鳳山區誠義里誠東街1號,120.3625031,22.61109924
