name,type,city,district,address,longitude,latitude,capacity,evaluate_year,evaluation_type,evaluation_result,rating_amount,rating_score,rating_average,google
桃園市私立恩碩幼兒園,私立,桃園市,中壢區,桃園市中壢區育英路57號,121.2273737,24.9736566,150,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,23,108,4.695652174,4.5
桃園市私立貝多芬幼兒園,私立,桃園市,中壢區,桃園市中壢區福星六街8、10號1-2樓,121.2340323,24.9664446,153,105學年度,基礎評鑑,全數指標通過基礎評鑑,21,99,4.714285714,3
桃園市私立瑞恩帝兒環中幼兒園,私立,桃園市,中壢區,桃園市中壢區新中北路558號,121.2464932,24.9569753,480,105學年度,基礎評鑑,全數指標通過基礎評鑑,50,200,4,3.2
桃園市私立華盛頓幼兒園,私立,桃園市,中壢區,桃園市中壢區環中東路二段729號,121.2282435,24.9433453,210,105學年度,基礎評鑑,全數指標通過基礎評鑑,22,73,3.318181818,4
桃園市私立吉尼爾歌德幼兒園,私立,桃園市,中壢區,桃園市中壢區高鐵南路5段538巷100號,121.1665137,24.9664152,320,105學年度,基礎評鑑,全數指標通過基礎評鑑,33,119,3.606060606,3.5
桃園市私立綠光長頸鹿幼兒園,私立,桃園市,中壢區,桃園市中壢區龍昌路156號1-2樓,121.2493149,24.938563,285,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,49,225,4.591836735,4.2
桃園市私立田園幼兒園,私立,桃園市,中壢區,桃園市中壢區東芝路76號1-3樓,121.210136,24.996362,340,105學年度,基礎評鑑,全數指標通過基礎評鑑,14,52,3.714285714,4.1
桃園市私立巧宜幼兒園,私立,桃園市,中壢區,桃園市中壢區新中北路508號,121.2453465,24.9575303,104,105學年度,基礎評鑑,全數指標通過基礎評鑑,15,53,3.533333333,4.3
桃園市私立芝?村幼兒園,私立,桃園市,中壢區,桃園市中壢區成章四街90號1~3樓,121.2567575,24.9756611,119,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,6,30,5,1.9
桃園市私立幼幼幼兒園,私立,桃園市,中壢區,桃園市中壢區珠江街45號,121.231571,24.94828,60,105學年度,基礎評鑑,全數指標通過基礎評鑑,22,99,4.5,2
桃園市私立宏欣幼兒園,私立,桃園市,中壢區,桃園市中壢區中央西路二段150巷19、21號1樓,121.213674,24.958606,53,105學年度,基礎評鑑,全數指標通過基礎評鑑,46,189,4.108695652,5
桃園市私立聖堡登幼兒園,私立,桃園市,中壢區,桃園市中壢區環中東路二段829號,121.2261151,24.9419083,616,105學年度,基礎評鑑,全數指標通過基礎評鑑,44,189,4.295454545,2.1
桃園市私立燈塔幼兒園,私立,桃園市,中壢區,桃園市中壢區金山二街22號1-2樓,121.2307147,24.9523613,100,102學年度,基礎評鑑,全數指標通過基礎評鑑,28,109,3.892857143,3.1
桃園市私立米淇蒙特梭利幼兒園,私立,桃園市,中壢區,桃園市中壢區杭州路33號1-2樓,121.234992,24.950709,60,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,32,93,2.90625,4.5
桃園市私立順德幼兒園,私立,桃園市,中壢區,桃園市中壢區新生路3段23號1-3樓、25號1-2樓,121.221835,24.987643,67,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,45,99,2.2,4.7
桃園市私立愛寶兒幼兒園,私立,桃園市,中壢區,桃園市中壢區嘉興街88號1-2樓,121.23445,24.950742,120,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,13,44,3.384615385,3.3
桃園市私立安琪兒幼兒園,私立,桃園市,中壢區,桃園市中壢區環西路二段253號地下1樓、1-2樓,121.212421,24.965184,50,105學年度,基礎評鑑,全數指標通過基礎評鑑,11,55,5,2
桃園市私立福星寶貝幼兒園,私立,桃園市,中壢區,桃園市中壢區福州一街99號1-2樓,121.2319117,24.9653207,105,105學年度,基礎評鑑,全數指標通過基礎評鑑,39,105,2.692307692,5
桃園市私立原明欣幼兒園,私立,桃園市,中壢區,桃園市中壢區仁慈路310-1號1-3樓,121.2552398,24.9461948,520,102學年度,基礎評鑑,全數指標通過基礎評鑑,50,180,3.6,1.5
桃園市私立盈采幼兒園,私立,桃園市,中壢區,桃園市中壢區龍和三街168號1-2樓,121.244526,24.935872,360,105學年度,基礎評鑑,全數指標通過基礎評鑑,9,32,3.555555556,4.3
桃園市私立中壢工業區聯合幼兒園,私立,桃園市,中壢區,桃園市中壢區西園路51號1-2樓,121.234599,24.9743933,190,103學年度,基礎評鑑,全數指標通過基礎評鑑,7,33,4.714285714,3.2
桃園市私立福曼珊幼兒園,私立,桃園市,中壢區,桃園市中壢區正泰街16、18號1-2樓,121.2042031,24.9595425,210,105學年度,基礎評鑑,全數指標通過基礎評鑑,40,184,4.6,4.7
桃園市私立一心幼兒園,私立,桃園市,中壢區,桃園市中壢區忠孝路282巷13弄2號,121.2547578,24.9798365,60,105學年度,基礎評鑑,全數指標通過基礎評鑑,33,158,4.787878788,3.4
桃園市私立千千幼兒園,私立,桃園市,中壢區,桃園市中壢區龍岡路一段159巷11號,121.224736,24.9490604,210,105學年度,基礎評鑑,全數指標通過基礎評鑑,20,78,3.9,3.8
桃園市私立綠豆幼兒園,私立,桃園市,中壢區,桃園市中壢區仁美四街8號,121.2517675,24.9448897,180,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,25,125,5,4.1
桃園市私立環愛幼兒園,私立,桃園市,中壢區,桃園市中壢區普忠路248號,121.246938,24.9596937,90,105學年度,基礎評鑑,全數指標通過基礎評鑑,13,38,2.923076923,3.5
桃園市私立長堤幼兒園,私立,桃園市,中壢區,桃園市中壢區普義路149號1-2樓,121.2320796,24.9600696,100,105學年度,基礎評鑑,全數指標通過基礎評鑑,38,160,4.210526316,2.8
桃園市私立汎迪爾幼兒園,私立,桃園市,中壢區,桃園市中壢區新中北路565號,121.2475439,24.9571909,150,105學年度,基礎評鑑,全數指標通過基礎評鑑,33,165,5,4.3
桃園市私立乖乖幼兒園,私立,桃園市,中壢區,桃園市中壢區內定二街139巷121弄5、7號,121.2518147,24.9871229,90,105學年度,基礎評鑑,全數指標通過基礎評鑑,20,80,4,3.1
桃園市私立淯苗源幼兒園,私立,桃園市,中壢區,桃園市中壢區信義路19、21、23號1、2樓,121.255033,24.973286,54,105學年度,基礎評鑑,全數指標通過基礎評鑑,31,155,5,4.6
桃園市私立國鼎幼兒園,私立,桃園市,中壢區,桃園市中壢區中豐路49巷18弄17號,121.2207909,24.9629684,265,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,9,41,4.555555556,2.8
桃園市私立慈幼幼兒園,私立,桃園市,中壢區,桃園市中壢區衡陽街1號1-2樓,121.2316505,24.9503248,40,105學年度,基礎評鑑,全數指標通過基礎評鑑,21,69,3.285714286,5
桃園市私立國恩幼兒園,私立,桃園市,中壢區,桃園市中壢區福星六街20號,121.2337444,24.9664259,66,105學年度,基礎評鑑,全數指標通過基礎評鑑,6,22,3.666666667,5
桃園市私立青暉幼兒園,私立,桃園市,中壢區,桃園市中壢區民族路五段475號1-4樓,121.166298,24.957879,80,105學年度,基礎評鑑,全數指標通過基礎評鑑,3,15,5,5
桃園市私立百合精緻幼兒園,私立,桃園市,中壢區,桃園市中壢區廣州路128號1-2樓,121.2306436,24.9514026,233,105學年度,基礎評鑑,全數指標通過基礎評鑑,26,94,3.615384615,2.6
桃園市私立瑞智蒙特梭利幼兒園,私立,桃園市,中壢區,桃園市中壢區中華路一段644巷40、42號1樓,121.249876,24.970652,49,105學年度,追蹤評鑑,全數指標通過追蹤評鑑,46,133,2.891304348,3.9
日月光半導體製造股份有限公司職工福利委員會附設桃園市私立同心園幼兒園,私立,桃園市,中壢區,桃園市中壢區中華路一段550號,121.251351,24.970008,130,105學年度,基礎評鑑,全數指標通過基礎評鑑,49,196,4,2.7
