name,type,city,district,address,longitude,latitude,capacity
高雄市桃源區建山國民小學附設幼兒園,公立,高雄市,桃源區,高雄市桃源區建山國民小學附設幼兒園 [848]建山巷96號,120.6825711,23.1052671,60
高雄市桃源區樟山國民小學附設幼兒園,公立,高雄市,桃源區,高雄市桃源區樟山國民小學附設幼兒園 [848]南橫公路5段440號,120.8194161,23.2528783,60
高雄市桃源區興中國民小學附設幼兒園,公立,高雄市,桃源區,高雄市桃源區興中國民小學附設幼兒園 [848]興中巷44號,120.7191343,23.1284701,60
高雄市桃源區立桃源幼兒園,公立,高雄市,桃源區,高雄市桃源區立桃源幼兒園 [848]180-10號,120.7659651,23.1603127,30
高雄市那瑪夏區民權國民小學附設幼兒園,公立,高雄市,那瑪夏區,高雄市那瑪夏區民權國民小學附設幼兒園 [849]平和巷220號,120.7028667,23.248737,45
高雄市那瑪夏區民生國民小學附設幼兒園,公立,高雄市,那瑪夏區,高雄市那瑪夏區民生國民小學附設幼兒園 [849]大光巷159號,120.7205432,23.2761857,60
高雄市那瑪夏區立那瑪夏幼兒園,公立,高雄市,那瑪夏區,高雄市那瑪夏區立那瑪夏幼兒園 [849]大光巷123號,120.7196962,23.2792205,30
高雄市那瑪夏區立那瑪夏幼兒園瑪雅分班,公立,高雄市,那瑪夏區,高雄市那瑪夏區立那瑪夏幼兒園瑪雅分班 [849]平和巷164號,120.6959872,23.2382617,15
高雄市茂林區茂林國民小學附設幼兒園,公立,高雄市,茂林區,高雄市茂林區茂林國民小學附設幼兒園 [851]茂林巷4之3號,120.6644768,22.8860015,30
高雄市茂林區多納國民小學附設幼兒園,公立,高雄市,茂林區,高雄市茂林區多納國民小學附設幼兒園 [851]多納巷1-2號,120.7161342,22.9100473,45
高雄市茂林區立茂林幼兒園,公立,高雄市,茂林區,高雄市茂林區立茂林幼兒園 [851]茂林巷62-1號,120.663972,22.885754,15
高雄市茂林區立茂林幼兒園萬山分班,公立,高雄市,茂林區,高雄市茂林區立茂林幼兒園萬山分班 [851]萬山巷26-1號,120.663972,22.885754,15
高雄市茄萣區茄萣國民小學附設幼兒園,公立,高雄市,茄萣區,高雄市茄萣區茄萣國民小學附設幼兒園 [852]茄萣路二段307號,120.1819375,22.9032438,90
高雄市茄萣區砂崙國民小學附設幼兒園,公立,高雄市,茄萣區,高雄市茄萣區砂崙國民小學附設幼兒園 [852]文化路81號,120.1825423,22.9132453,60
高雄市茄萣區成功國民小學附設幼兒園,公立,高雄市,茄萣區,高雄市茄萣區成功國民小學附設幼兒園 [852]成功路1號,120.1857642,22.8889056,60
高雄市茄萣區興達國民小學附設幼兒園,公立,高雄市,茄萣區,高雄市茄萣區興達國民小學附設幼兒園 [852]民治路2號,120.196476,22.8756381,30
財團法人台灣聖公會附設高雄市私立聖公會幼兒園,私立,高雄市,茄萣區,財團法人台灣聖公會附設高雄市私立聖公會幼兒園 [852]茄萣路2段311號,120.1829289,22.9035406,80
高雄市私立昱賢幼兒園,私立,高雄市,茄萣區,高雄市私立昱賢幼兒園 [852]健康路178號,120.1943778,22.8729338,40
高雄市私立正育幼兒園,私立,高雄市,茄萣區,高雄市私立正育幼兒園 [852]濱海路一段398巷85號1至2樓,120.1925708,22.8716595,190
屏東縣屏東市仁愛國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市仁愛國民小學附設幼兒園 [900]仁愛路98號,120.4946522,22.676736,120
屏東縣屏東市民和國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市民和國民小學附設幼兒園 [900]自立路213號,120.4957009,22.6706675,60
屏東縣屏東市勝利國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市勝利國民小學附設幼兒園 [900]蘭州街2號,120.4860792,22.6803235,60
屏東縣屏東市建國國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市建國國民小學附設幼兒園 [900]建興路36號,120.4865238,22.6655195,60
屏東縣屏東市前進國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市前進國民小學附設幼兒園 [900]建國路405巷100弄39號,120.458351,22.649777,30
國立屏東大學附設實驗國民小學附設幼兒園,公立,屏東縣,屏東市,國立屏東大學附設實驗國民小學附設幼兒園 [900]師校巷3號,120.499651,22.669474,60
屏東縣屏東市唐榮國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市唐榮國民小學附設幼兒園 [900]中山路41號,120.486059,22.671915,60
屏東縣屏東市凌雲國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市凌雲國民小學附設幼兒園 [900]光大巷61號,120.4462652,22.6656503,30
屏東縣屏東市民生國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市民生國民小學附設幼兒園 [900]安心四橫巷139-1號,120.512444,22.66166,90
屏東縣屏東市公館國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市公館國民小學附設幼兒園 [900]公華街182號,120.481176,22.637412,60
屏東縣屏東市大同國民小學附設幼兒園,公立,屏東縣,屏東市,屏東縣屏東市大同國民小學附設幼兒園 [900]建國路202號,120.4766253,22.6660839,30
屏東縣私立婦友幼兒園,私立,屏東縣,屏東市,屏東縣私立婦友幼兒園 [900]豐榮街17號,120.5015482,22.6775505,80
屏東縣私立小哈佛幼兒園,私立,屏東縣,屏東市,屏東縣私立小哈佛幼兒園 [900]自立南路71號,120.481899,22.659873,138
屏東縣私立幼愛幼兒園,私立,屏東縣,屏東市,屏東縣私立幼愛幼兒園 [900]民教路90號,120.500244,22.667545,150
屏東縣私立柏克萊幼兒園,私立,屏東縣,屏東市,屏東縣私立柏克萊幼兒園 [900]古松巷221號,120.4812794,22.6894732,120
屏東縣私立超越幼兒園,私立,屏東縣,屏東市,屏東縣私立超越幼兒園 [900]民勇路18號,120.5024343,22.6657948,57
